column_name,row_count,value
CUS_IND_DSC,9961.000000000000000000,CC REGIONALES
CUS_IND_DSC,8232.000000000000000000,AFH CENTRAL
CUS_IND_DSC,6455.000000000000000000,MAYOREO
CUS_IND_DSC,5301.000000000000000000,SELF SERVICES STORE
CUS_IND_DSC,2066.000000000000000000,E-COMMERCE
CUS_IND_DSC,1505.000000000000000000,CLUB
CUS_IND_DSC,1093.000000000000000000,AUTOSERVICIOS
CUS_1ST_IND_COD,2087025.000000000000000000,
CUS_1ST_IND_COD,1597994.000000000000000000,ZMX07
CUS_1ST_IND_COD,1052160.000000000000000000,R601
CUS_1ST_IND_COD,685249.000000000000000000,ZMX19
CUS_1ST_IND_COD,548266.000000000000000000,MXBNFSC1N
CUS_1ST_IND_COD,250141.000000000000000000,MXBNFSC1F
CUS_1ST_IND_COD,124067.000000000000000000,R624
CUS_1ST_IND_COD,114789.000000000000000000,#
CUS_1ST_IND_COD,93260.000000000000000000,ZMX03
CUS_1ST_IND_COD,51447.000000000000000000,MXBNFSC4I
CUS_1ST_IND_COD,38939.000000000000000000,MXBNFSC1B
CUS_1ST_IND_COD,31892.000000000000000000,ZMX06
CUS_1ST_IND_COD,30614.000000000000000000,R627
CUS_1ST_IND_COD,28720.000000000000000000,MXBNFSC1G
CUS_1ST_IND_COD,28663.000000000000000000,ZPR02
CUS_1ST_IND_COD,26706.000000000000000000,R612
CUS_1ST_IND_COD,25920.000000000000000000,ZMX01
CUS_1ST_IND_COD,25058.000000000000000000,ZPR01
CUS_1ST_IND_COD,20320.000000000000000000,MXBNFSC2H
CUS_1ST_IND_COD,19262.000000000000000000,MXBNFSC2J
CUS_1ST_IND_DSC,2087025.000000000000000000,
CUS_1ST_IND_DSC,1597994.000000000000000000,971-Tradicional
CUS_1ST_IND_DSC,1052160.000000000000000000,Abarrotes
CUS_1ST_IND_DSC,685249.000000000000000000,Others
CUS_1ST_IND_DSC,548266.000000000000000000,OTROS
CUS_1ST_IND_DSC,250141.000000000000000000,ABARROTES/MISCELANEA
CUS_1ST_IND_DSC,124067.000000000000000000,Proximity especializ
CUS_1ST_IND_DSC,114789.000000000000000000,#
CUS_1ST_IND_DSC,93260.000000000000000000,555-Distribuidor
CUS_1ST_IND_DSC,51447.000000000000000000,Minimercados
CUS_1ST_IND_DSC,38939.000000000000000000,MINI SUPER DTT
CUS_1ST_IND_DSC,31892.000000000000000000,970-Conveniencia
CUS_1ST_IND_DSC,30614.000000000000000000,P.informal Mobilité
CUS_1ST_IND_DSC,28720.000000000000000000,ASOCIVE/METRO
CUS_1ST_IND_DSC,28663.000000000000000000,Delivery Route
CUS_1ST_IND_DSC,26706.000000000000000000,Farmacia
CUS_1ST_IND_DSC,25920.000000000000000000,333-Autoservicio
CUS_1ST_IND_DSC,25058.000000000000000000,Pre Sales Route
CUS_1ST_IND_DSC,20320.000000000000000000,AUTOSERVICIOS
CUS_1ST_IND_DSC,19262.000000000000000000,MINI SUPER UTT
CUS_2ND_IND_COD,2644898.000000000000000000,#
CUS_2ND_IND_COD,2087042.000000000000000000,
CUS_2ND_IND_COD,1052076.000000000000000000,MXBNFSC4W
CUS_2ND_IND_COD,273611.000000000000000000,MXBNFRG05
CUS_2ND_IND_COD,253367.000000000000000000,MXBNFRG06
CUS_2ND_IND_COD,234372.000000000000000000,MXBNFRG08
CUS_2ND_IND_COD,201388.000000000000000000,MXBNFRG07
CUS_2ND_IND_COD,47422.000000000000000000,MXBNFSC4M
CUS_2ND_IND_COD,35069.000000000000000000,MXBNFSC4T
CUS_2ND_IND_COD,29229.000000000000000000,MXBNFSC1G
CUS_2ND_IND_COD,28148.000000000000000000,MXBNFSC4Z
